číslo,editace (co uvidíme při zadávání),prezentace,definice
1,Blanensko,Blanensko,
2,Blata,Blata,region
3,Bohumínsko a Karvinsko [Téma],Bohumínsko a Karvinsko,...
4,Břeclavsko [Podluží],Břeclavsko,region
5,Českobudějovicko,Českobudějovicko,
6,Českotěšínsko,Českotěšínsko,
7,Českotřebovsko,Českotřebovsko,
8,Dačicko,Dačicko,
9,Domažlicko,Domažlicko,
10,Doudlebsko,Doudlebsko,region
11,Frenštátsko,Frenštátsko,
12,Frýdecko,Frýdecko,
13,Frýdecko-Místecko,Frýdecko-Místecko,
14,Frýdecko-Místecko [Loriš],Frýdecko-Místecko,"Morávka FM, Pražmo FM, Krásná FM, Staré Hamry FM, Malenovice FM, Frýdlant nad Ostravicí FM (Nová Ves), Frýdlant nad Ostravicí FM (Lubno), Pržno FM, Janovice FM, Raškovice FM, Vyšní Lhoty FM, Nižní Lhoty FM, Nošovice FM, Frýdek-Místek FM (Skalice), Baška FM, Staré Město FM, Frýdek-Místek FM (Frýdek), Dobrá FM, Dobratice FM, Vojkovice FM, Lučina FM, Pazderna FM, Frýdek-Místek FM (Lískovec), Bruzovice FM"
15,Frýdecko-Místecko [Tradiční mluva...],Frýdecko-Místecko,"Pražmo FM, Morávka FM, Krásná FM, Raškovice FM"
16,Hlinecko [Adámek],Hlinecko,...
17,Hlučínsko,Hlučínsko,
18,Hodonínsko,Hodonínsko,
19,Holicko,Holicko,
20,Chodsko,Chodsko,region
21,Jilemnicko,Jilemnicko,
22,Karvinsko,Karvinsko,
23,Kelečsko,Kelečsko,...
24,Kladsko,Kladsko,region
25,Konicko,Konicko,
26,Litomyšlsko,Litomyšlsko,
27,Luhačovicko [Kolařík],Luhačovicko,"Luhačovice ZL, Ludkovice ZL, Pozlovice ZL, Podhradí ZL, Luhačovice ZL (Řetechov), Ludkovice ZL (Pradlisko), Biskupice ZL, Luhačovice ZL (Kladná Žilín)"
28,Náchodsko,Náchodsko,
29,Neveklovsko,Neveklovsko,
30,Novopacko,Novopacko,
31,Novopacko a Hořicko [Kotík],Novopacko a Hořicko,
32,Opavsko,Opavsko,
33,Ostravsko,Ostravsko,
34,Plzeňsko,Plzeňsko,
35,Podkrkonoší [Bachmannová],Podkrkonoší,...
36,Prachaticko [Vydra],Prachaticko,"Budkov PT, Vlachovo Březí PT (Dachov), Drslavice PT, Dvory PT, Husinec PT (Horouty), Šumavské Hoštice PT, Husinec PT, Kratušín PT (Chlístov), Chlumany PT, Nebahovy PT (Jelemek), Prachatice PT (Kahov), Šumavské Hoštice PT (Kosmo), Kratušín PT, Lažiště PT, Nebahovy PT (Lažišťka), Radhostice PT (Lštění), Vlachovo Březí PT (Mojkov), Nebahovy PT, Prachatice PT (Oseky), Pěčnov PT, Prachatice PT (Podolí), Prachatice PT, Strunkovice nad Blanicí PT, Drslavice PT (Švihov), Buk PT (Včelná pod Boubínem), Vlachovo Březí PT, Šumavské Hoštice PT (Vojslavice), Zábrdí PT, Nebahovy PT (Zdenice), Strunkovice nad Blanicí PT (Žíchovec), Žárovná PT, Žernovice PT"
37,Prostějovsko,Prostějovsko,
38,Příborsko,Příborsko,
39,Příbramsko [Jančáková],Příbramsko,"Křešín PB, Rosovice PB, Mokrovraty PB, Drevníky PB (Nechalov), Dublovice PB, Rožmitál pod Třemšínem PB (Nesvačily), Březnice PB (Bor), Bukovany PB, Klučenice PB, Krásná Hora nad Vltavou PB (Krašovice), Obecnice PB, Podlesí PB, Příbram PB (Kozičín), Příbram PB (Žežice), Láz PB, Lazsko PB, Modřovice PB, Tochovice PB, Hluboš PB, Trhové Dušníky PB, Háje PB, Milín PB, Vrančice PB, Suchodol PB, Dubenec PB, Višňová PB, Dolní Hbity PB (Jelence), Milín PB (Stěžov), Smolotely PB, Pečice PB, Bohostice PB, Obory PB, Dolní Hbity PB (Luhy), Kamýk nad Vltavou PB (Velká), Zduchovice PB, Kamýk nad Vltavou PB, Solenice PB"
40,Rožmitálsko,Rožmitálsko,
41,Rožnovsko,Rožnovsko,
42,Rtyňsko-Svatoňovicko,Rtyňsko-Svatoňovicko,"Rtyně v Podkrkonoší TU, Malé Svatoňovice TU, Velké Svatoňovice TU, Malé Svatoňovice TU (Petrovice), Malé Svatoňovice TU (Strážkovice), Malé Svatoňovice TU (Odolov), Velké Svatoňovice TU (Markoušovice), Batňovice TU, Úpice TU, Suchovršice TU, Havlovice TU, Libňatov TU, Maršov u Úpice Tu, Stárkov NA, Stárkov NA (Chlívce), Červený Kostelec NA (Bohdašín)"
43,Rychnovsko,Rychnovsko,
44,"Sedlčansko, Sedlecko a Voticko [Habart]","Sedlčansko, Sedlecko a Voticko",
45,Strakonicko,Strakonicko,
46,Sušicko,Sušicko,
47,Šumpersko [Rýznar],Šumpersko,"Bohdíkov SU, Brníčko SU, Dlouhomilov SU, Drozdov SU, Horní Studénky SU, Jakubovice SU, Jedlí SU, Písařov SU, Postřelmov SU, Ruda nad Moravou SU (Bartoňov), Štíty SU"
48,Tišnovsko [Vojtová],Tišnovsko,"Deblín BO, Drásov BO, Lipůvka BK, Kuřim BO, Rájec-Jestřebí BK, Sloup BK"
49,Uherskohradišťsko [Hubáček],Uherskohradišťsko,...
50,Uherskohradišťsko [Ilík],Uherskohradišťsko,"Kunovice UH, Uherské Hradiště UH (Míkovice), Podolí UH, Popovice UH, Uherské Hradiště UH (Sady), Uherské Hradiště UH (Vésky)"
51,Valašsko,Valašsko,region
52,Valašskokloboucko,Valašskokloboucko,
53,Valašskomeziříčsko [Kašík],Valašskomeziříčsko,"Branky VS, Choryně VS, Kladeruby VS, Kunovice VS, Lešná VS, Lešná VS (Jasenice), Mikulůvka VS, Police VS, Poličná VS, Valašské Meziříčí VS (Juřinka), Valašské Meziříčí VS (Krásno nad Bečvou)"
54,Vsetínsko,Vsetínsko,
55,vých. Prostějovsko [Borocký],vých. Prostějovsko,https://mapy.cz/s/dutavukosu
56,Vysokomýtsko [Bachmann],Vysokomýtsko,...
57,Vyškovsko,Vyškovsko,
58,Vyškovsko [Cigánek],Vyškovsko,...
59,Zábřežsko [Šmejkalová],Zábřežsko,"Bohuslavice SU, Dubicko SU, Hrabová SU"
60,Zlínsko,Zlínsko,
61,Ždánicko [Kolaja],Ždánicko,"Ždánice HO, Dambořice HO, Lovčice HO, Žarošice HO, Archlebov HO, Dražůvky HO"
62,Železnobrodsko [Bachmannová],Železnobrodsko [Bachmannová],"Loužnice JN, Pěnčín JN (Bratříkov), Držkov JN, Zásada JN"
